AC   MIPF0000001
ID   mir-17
MI   MI0003296  tni-let-7i
MI   MI0003313  fru-let-7a-2
MI   MI0003314  tni-let-7a-2
MI   MI0003319  fru-let-7d
MI   MI0003320  tni-let-7d
MI   MI0003341  fru-let-7j
MI   MI0003342  tni-let-7j
MI   MI0003343  dre-let-7j
MI   MI0003344  fru-let-7b
MI   MI0003345  tni-let-7b
MI   MI0003407  fru-let-7a-1
MI   MI0003408  tni-let-7a-1
MI   MI0003461  fru-let-7g
MI   MI0003462  tni-let-7g
MI   MI0004734  bta-let-7f-2
MI   MI0004787  xtr-let-7b
MI   MI0004820  xtr-mir-98
MI   MI0004886  xtr-let-7c
MI   MI0004887  xtr-let-7f
MI   MI0004888  xtr-let-7g
MI   MI0004889  xtr-let-7i
MI   MI0004907  xtr-let-7e-1
MI   MI0004908  xtr-let-7a
MI   MI0004909  xtr-let-7e-2
MI   MI0004968  bmo-let-7
MI   MI0005025  bta-mir-98
MI   MI0005026  bta-let-7d
MI   MI0005051  bta-let-7g
MI   MI0005057  bta-let-7a-1
MI   MI0005062  bta-let-7f-1
MI   MI0005065  bta-let-7i
MI   MI0005330  mdo-let-7a-2
MI   MI0005331  mdo-let-7g
MI   MI0005332  mdo-let-7i
MI   MI0005349  mdo-let-7f-2
MI   MI0005350  mdo-let-7a-3
MI   MI0005351  mdo-let-7b
MI   MI0005360  mdo-let-7a-1
MI   MI0005361  mdo-let-7f-1
MI   MI0005362  mdo-let-7d
MI   MI0005451  bta-let-7a-2
MI   MI0005452  bta-let-7a-3
MI   MI0005453  bta-let-7b
MI   MI0005454  bta-let-7c
MI   MI0005455  bta-let-7e
MI   MI0005726  ame-let-7
MI   MI0006720  oan-let-7b
MI   MI0006773  oan-let-7e
MI   MI0006809  oan-let-7g
MI   MI0006894  oan-mir-98
MI   MI0006895  oan-let-7f-2
MI   MI0006934  oan-let-7d
MI   MI0006962  oan-let-7f-1
MI   MI0007149  cin-let-7a-1
MI   MI0007150  cin-let-7a-2
MI   MI0007151  cin-let-7b
MI   MI0007152  cin-let-7c
MI   MI0007153  cin-let-7d
MI   MI0007154  cin-let-7e
MI   MI0007181  csa-let-7a
MI   MI0007182  csa-let-7b
MI   MI0007183  csa-let-7c-1
MI   MI0007184  csa-let-7c-2
MI   MI0007185  csa-let-7d
MI   MI0007570  mml-let-7a-1
MI   MI0007571  mml-let-7a-2
MI   MI0007572  mml-let-7a-3
MI   MI0007573  mml-let-7b
MI   MI0007574  mml-let-7c
MI   MI0007575  mml-let-7d
MI   MI0007576  mml-let-7e
MI   MI0007577  mml-let-7f-1
MI   MI0007578  mml-let-7f-2
MI   MI0007579  mml-let-7g
MI   MI0007580  mml-let-7i
MI   MI0007989  cfa-let-7a
MI   MI0008004  cfa-let-7e
MI   MI0008006  cfa-let-7f
MI   MI0008036  cfa-let-7g
MI   MI0008076  cfa-let-7c
MI   MI0008182  cfa-mir-98
MI   MI0008397  ptr-let-7a-1
MI   MI0008398  ptr-let-7a-2
MI   MI0008399  ptr-let-7a-3
MI   MI0008400  ptr-let-7b
MI   MI0008401  ptr-let-7c
MI   MI0008402  ptr-let-7d
MI   MI0008403  ptr-let-7e
MI   MI0008404  ptr-let-7f-1
MI   MI0008405  ptr-let-7f-2
MI   MI0008406  ptr-let-7g
MI   MI0008407  ptr-let-7i
MI   MI0008896  tca-let-7
MI   MI0009004  dan-let-7
MI   MI0009025  der-let-7
MI   MI0009138  dgr-let-7-1
MI   MI0009176  dgr-let-7-2
MI   MI0009239  dmo-let-7
MI   MI0009254  dpe-let-7-1
MI   MI0009316  dpe-let-7-2
MI   MI0009400  dse-let-7
MI   MI0009441  dsi-let-7
MI   MI0009548  dvi-let-7
MI   MI0009562  dwi-let-7
MI   MI0009673  dya-let-7
//
AC   MIPF0000003
ID   mir-430
MI   MI0001527  dre-mir-430a-1
MI   MI0001528  dre-mir-430b-1
MI   MI0001529  dre-mir-430c-1
MI   MI0002079  dre-mir-430c-2
MI   MI0002080  dre-mir-430c-3
MI   MI0002081  dre-mir-430c-4
MI   MI0002082  dre-mir-430c-5
MI   MI0002083  dre-mir-430c-6
MI   MI0002087  dre-mir-430c-7
MI   MI0002088  dre-mir-430c-8
MI   MI0002089  dre-mir-430c-9
MI   MI0002090  dre-mir-430c-10
MI   MI0002091  dre-mir-430c-11
MI   MI0002092  dre-mir-430c-12
MI   MI0002093  dre-mir-430c-13
MI   MI0002094  dre-mir-430c-14
MI   MI0002095  dre-mir-430c-15
MI   MI0002096  dre-mir-430c-16
MI   MI0002097  dre-mir-430c-17
MI   MI0002098  dre-mir-430c-18
MI   MI0002099  dre-mir-430c-19
MI   MI0002100  dre-mir-430c-20
MI   MI0002101  dre-mir-430c-21
MI   MI0002111  dre-mir-430a-2
MI   MI0002112  dre-mir-430a-3
MI   MI0002113  dre-mir-430a-4
MI   MI0002114  dre-mir-430a-5
MI   MI0002115  dre-mir-430a-6
MI   MI0002116  dre-mir-430a-7
MI   MI0002117  dre-mir-430a-8
MI   MI0002118  dre-mir-430a-9
MI   MI0002119  dre-mir-430a-10
MI   MI0002120  dre-mir-430a-11
MI   MI0002121  dre-mir-430a-12
MI   MI0002122  dre-mir-430a-13
MI   MI0002123  dre-mir-430a-14
MI   MI0002124  dre-mir-430a-15
MI   MI0002125  dre-mir-430a-16
MI   MI0002126  dre-mir-430a-17
MI   MI0002131  dre-mir-430a-18
MI   MI0002132  dre-mir-430a-19
MI   MI0002133  dre-mir-430a-20
MI   MI0002134  dre-mir-430a-21
MI   MI0002135  dre-mir-430a-22
MI   MI0002138  dre-mir-430a-23
MI   MI0002139  dre-mir-430i-1
MI   MI0002140  dre-mir-430i-2
MI   MI0002141  dre-mir-430i-3
MI   MI0002142  dre-mir-430b-2
MI   MI0002143  dre-mir-430b-3
MI   MI0002144  dre-mir-430b-4
MI   MI0002146  dre-mir-430b-6
MI   MI0002147  dre-mir-430b-7
MI   MI0002148  dre-mir-430b-8
MI   MI0002149  dre-mir-430b-9
MI   MI0002150  dre-mir-430b-10
MI   MI0002151  dre-mir-430b-11
MI   MI0002152  dre-mir-430b-12
MI   MI0002153  dre-mir-430b-13
MI   MI0002154  dre-mir-430b-14
MI   MI0002155  dre-mir-430b-15
MI   MI0002156  dre-mir-430b-16
MI   MI0002157  dre-mir-430b-17
MI   MI0002158  dre-mir-430b-18
MI   MI0002166  dre-mir-430b-5
MI   MI0002170  dre-mir-430b-19
MI   MI0002171  dre-mir-430b-20
MI   MI0002172  dre-mir-430b-21
MI   MI0002173  dre-mir-430b-22
MI   MI0002174  dre-mir-430b-23
MI   MI0002175  dre-mir-430j
//
AC   MIPF0000004
ID   MIR166
MI   MI0000199  ath-MIR165a
MI   MI0000200  ath-MIR165b
MI   MI0000201  ath-MIR166a
MI   MI0000202  ath-MIR166b
MI   MI0000203  ath-MIR166c
MI   MI0000204  ath-MIR166d
MI   MI0000205  ath-MIR166e
MI   MI0000206  ath-MIR166f
MI   MI0000207  ath-MIR166g
MI   MI0000670  osa-MIR166a
MI   MI0000671  osa-MIR166b
MI   MI0000672  osa-MIR166c
MI   MI0000673  osa-MIR166d
MI   MI0000674  osa-MIR166e
MI   MI0000675  osa-MIR166f
MI   MI0001106  osa-MIR166j
MI   MI0001107  osa-MIR166k
MI   MI0001108  osa-MIR166l
MI   MI0001142  osa-MIR166g
MI   MI0001143  osa-MIR166h
MI   MI0001144  osa-MIR166i
MI   MI0001157  osa-MIR166m
MI   MI0001158  osa-MIR166n
MI   MI0001480  zma-MIR166a
MI   MI0001482  zma-MIR166h
MI   MI0001483  zma-MIR166e
MI   MI0001485  zma-MIR166i
MI   MI0001486  zma-MIR166f
MI   MI0001487  zma-MIR166g
MI   MI0001488  zma-MIR166b
MI   MI0001489  zma-MIR166c
MI   MI0001490  zma-MIR166d
MI   MI0001497  sbi-MIR166d
MI   MI0001498  sbi-MIR166c
MI   MI0001499  sbi-MIR166b
MI   MI0001500  sbi-MIR166a
MI   MI0001550  sbi-MIR166e
MI   MI0001569  sbi-MIR166f
MI   MI0001740  mtr-MIR166
MI   MI0001775  gma-MIR166a
MI   MI0001776  gma-MIR166b
MI   MI0001817  zma-MIR166k
MI   MI0001818  zma-MIR166j
MI   MI0001841  zma-MIR166l
MI   MI0001842  zma-MIR166m
MI   MI0001853  sbi-MIR166g
MI   MI0002218  ptc-MIR166a
MI   MI0002219  ptc-MIR166b
MI   MI0002220  ptc-MIR166c
MI   MI0002221  ptc-MIR166d
MI   MI0002222  ptc-MIR166e
MI   MI0002223  ptc-MIR166f
MI   MI0002224  ptc-MIR166g
MI   MI0002225  ptc-MIR166h
MI   MI0002226  ptc-MIR166i
MI   MI0002227  ptc-MIR166j
MI   MI0002228  ptc-MIR166k
MI   MI0002229  ptc-MIR166l
MI   MI0002230  ptc-MIR166m
MI   MI0002231  ptc-MIR166n
MI   MI0002232  ptc-MIR166o
MI   MI0002233  ptc-MIR166p
MI   MI0002234  ptc-MIR166q
MI   MI0005645  ghr-MIR166b
MI   MI0005659  ppt-MIR166b
MI   MI0005660  ppt-MIR166a
MI   MI0005782  pta-MIR166a
MI   MI0005783  pta-MIR166b
MI   MI0005906  ppt-MIR166c
MI   MI0005907  ppt-MIR166d
MI   MI0005908  ppt-MIR166e
MI   MI0005909  ppt-MIR166f
MI   MI0005910  ppt-MIR166g
MI   MI0005911  ppt-MIR166h
MI   MI0005912  ppt-MIR166i
MI   MI0005913  ppt-MIR166j
MI   MI0005914  ppt-MIR166k
MI   MI0005915  ppt-MIR166l
MI   MI0005916  ppt-MIR166m
MI   MI0006053  smo-MIR166a
MI   MI0006054  smo-MIR166b
MI   MI0006055  smo-MIR166c
MI   MI0006474  bna-MIR166a
MI   MI0006475  bna-MIR166b
MI   MI0006476  bna-MIR166c
MI   MI0006477  bna-MIR166d
MI   MI0006507  vvi-MIR166a
MI   MI0006508  vvi-MIR166b
MI   MI0006509  vvi-MIR166c
MI   MI0006510  vvi-MIR166d
MI   MI0006511  vvi-MIR166e
MI   MI0006512  vvi-MIR166f
MI   MI0006513  vvi-MIR166g
MI   MI0006514  vvi-MIR166h
MI   MI0008358  sly-MIR166a
MI   MI0008359  sly-MIR166b
//
AC   MIPF0000005
ID   mir-30
MI   MI0000088  hsa-mir-30a
MI   MI0000144  mmu-mir-30a
MI   MI0000145  mmu-mir-30b
MI   MI0000254  hsa-mir-30c-2
MI   MI0000255  hsa-mir-30d
MI   MI0000259  mmu-mir-30e
MI   MI0000441  hsa-mir-30b
MI   MI0000547  mmu-mir-30c-1
MI   MI0000548  mmu-mir-30c-2
MI   MI0000549  mmu-mir-30d
MI   MI0000736  hsa-mir-30c-1
MI   MI0000749  hsa-mir-30e
MI   MI0000866  rno-mir-30c-1
MI   MI0000867  rno-mir-30e
MI   MI0000868  rno-mir-30b
MI   MI0000869  rno-mir-30d
MI   MI0000870  rno-mir-30a
MI   MI0000871  rno-mir-30c-2
MI   MI0001198  gga-mir-30d
MI   MI0001199  gga-mir-30b
MI   MI0001204  gga-mir-30a
MI   MI0001205  gga-mir-30c-2
MI   MI0001256  gga-mir-30e
MI   MI0001257  gga-mir-30c-1
MI   MI0001940  dre-mir-30a
MI   MI0001941  dre-mir-30b
MI   MI0001944  dre-mir-30c
MI   MI0001946  dre-mir-30d
MI   MI0001950  dre-mir-30e-2
MI   MI0002461  ssc-mir-30c
MI   MI0002502  mml-mir-30b
MI   MI0002503  ptr-mir-30b
MI   MI0002504  ggo-mir-30b
MI   MI0002505  lla-mir-30b
MI   MI0002506  mne-mir-30b
MI   MI0002507  age-mir-30b
MI   MI0002508  ppa-mir-30b
MI   MI0002666  mml-mir-30a
MI   MI0002667  ptr-mir-30a
MI   MI0002668  ggo-mir-30a
MI   MI0002669  ppy-mir-30a
MI   MI0002670  ppa-mir-30a
MI   MI0002923  ptr-mir-30c-2
MI   MI0002924  lla-mir-30c
MI   MI0002925  mne-mir-30c
MI   MI0002926  ptr-mir-30d
MI   MI0002927  ggo-mir-30d
MI   MI0002928  mne-mir-30d
MI   MI0002929  ppa-mir-30d
MI   MI0003263  fru-mir-30b
MI   MI0003264  tni-mir-30b
MI   MI0003265  fru-mir-30d
MI   MI0003266  tni-mir-30d
MI   MI0003350  fru-mir-30c
MI   MI0003351  tni-mir-30c
MI   MI0004747  bta-mir-30d
MI   MI0004761  bta-mir-30b
MI   MI0004813  xtr-mir-30a
MI   MI0004814  xtr-mir-30b
MI   MI0004815  xtr-mir-30c-1
MI   MI0004898  xtr-mir-30d
MI   MI0004919  xtr-mir-30c-2
MI   MI0004920  xtr-mir-30e
MI   MI0005018  bta-mir-30e
MI   MI0005054  bta-mir-30a
MI   MI0005064  bta-mir-30c
MI   MI0005277  mdo-mir-30a
MI   MI0006728  oan-mir-30c
MI   MI0006729  oan-mir-30a
MI   MI0006812  oan-mir-30d
MI   MI0006813  oan-mir-30b
MI   MI0006911  oan-mir-30e
MI   MI0007599  mml-mir-30c-1
MI   MI0007600  mml-mir-30c-2
MI   MI0007601  mml-mir-30d
MI   MI0007602  mml-mir-30e
MI   MI0008000  cfa-mir-30a
MI   MI0008001  cfa-mir-30c-2
MI   MI0008012  cfa-mir-30d
MI   MI0008013  cfa-mir-30b
MI   MI0008023  cfa-mir-30e
MI   MI0008024  cfa-mir-30c-1
MI   MI0008215  ssc-mir-30b
MI   MI0008605  ptr-mir-30c-1
MI   MI0008606  ptr-mir-30e
//
AC   MIPF0000006
ID   mir-15
MI   MI0000069  hsa-mir-15a
MI   MI0000070  hsa-mir-16-1
MI   MI0000115  hsa-mir-16-2
MI   MI0000140  mmu-mir-15b
MI   MI0000237  mmu-mir-195
MI   MI0000438  hsa-mir-15b
MI   MI0000489  hsa-mir-195
MI   MI0000564  mmu-mir-15a
MI   MI0000565  mmu-mir-16-1
MI   MI0000566  mmu-mir-16-2
MI   MI0000843  rno-mir-15b
MI   MI0000844  rno-mir-16
MI   MI0000939  rno-mir-195
MI   MI0001185  gga-mir-16-1
MI   MI0001186  gga-mir-15a
MI   MI0001222  gga-mir-16-2
MI   MI0001223  gga-mir-15b
MI   MI0001891  dre-mir-15a-1
MI   MI0001892  dre-mir-15a-2
MI   MI0001893  dre-mir-15b
MI   MI0001894  dre-mir-16a
MI   MI0001895  dre-mir-16b
MI   MI0001896  dre-mir-16c
MI   MI0002177  dre-mir-457a
MI   MI0002178  dre-mir-457b
MI   MI0002419  ssc-mir-15b
MI   MI0002491  ggo-mir-15b
MI   MI0002492  age-mir-15b
MI   MI0002493  ppa-mir-15b
MI   MI0002494  ppy-mir-15b
MI   MI0002495  ptr-mir-15b
MI   MI0002496  mml-mir-15b
MI   MI0002497  lla-mir-15b
MI   MI0002498  mne-mir-15b
MI   MI0002617  ggo-mir-195
MI   MI0002618  ppa-mir-195
MI   MI0002945  age-mir-15a
MI   MI0002946  age-mir-16
MI   MI0002947  ggo-mir-15a
MI   MI0002948  ggo-mir-16
MI   MI0002949  mne-mir-15a
MI   MI0002950  mne-mir-16
MI   MI0002951  sla-mir-15a
MI   MI0002952  sla-mir-16
MI   MI0002953  ppa-mir-15a
MI   MI0002954  ppa-mir-16
MI   MI0002955  lca-mir-15a
MI   MI0002956  lca-mir-16
MI   MI0002957  mml-mir-15a
MI   MI0002958  mml-mir-16-1
MI   MI0002959  ppy-mir-15a
MI   MI0002960  ppy-mir-16
MI   MI0002961  ptr-mir-15a
MI   MI0002962  ptr-mir-16-1
MI   MI0002963  lla-mir-15a
MI   MI0002964  lla-mir-16
MI   MI0003447  fru-mir-15b
MI   MI0003448  tni-mir-15b
MI   MI0003469  fru-mir-15a
MI   MI0003470  tni-mir-15a
MI   MI0003471  fru-mir-16
MI   MI0003472  tni-mir-16
MI   MI0004739  bta-mir-16b
MI   MI0004779  dre-mir-15c
MI   MI0004799  xtr-mir-15a
MI   MI0004800  xtr-mir-15b
MI   MI0004801  xtr-mir-16c
MI   MI0004802  xtr-mir-16a
MI   MI0004892  xtr-mir-15c
MI   MI0004910  xtr-mir-16b
MI   MI0005012  bta-mir-15b
MI   MI0005333  mdo-mir-15a
MI   MI0005334  mdo-mir-16
MI   MI0005458  bta-mir-15a
MI   MI0005459  bta-mir-195
MI   MI0006691  oan-mir-15c
MI   MI0006692  oan-mir-16c
MI   MI0006818  oan-mir-15b
MI   MI0006819  oan-mir-16b
MI   MI0006886  oan-mir-15a
MI   MI0006887  oan-mir-16a
MI   MI0007562  gga-mir-15c
MI   MI0007563  gga-mir-16c
MI   MI0007589  mml-mir-16-2
MI   MI0007658  mml-mir-195
MI   MI0008048  cfa-mir-15a
MI   MI0008049  cfa-mir-16-1
MI   MI0008083  cfa-mir-15b
MI   MI0008084  cfa-mir-16-2
MI   MI0008105  cfa-mir-195
MI   MI0008211  ssc-mir-15a
MI   MI0008212  ssc-mir-16-1
MI   MI0008213  ssc-mir-16-2
MI   MI0008555  ptr-mir-16-2
MI   MI0008568  ptr-mir-195
//
AC   MIPF0000007
ID   mir-181
MI   MI0000223  mmu-mir-181a-2
MI   MI0000269  hsa-mir-181a-2
MI   MI0000270  hsa-mir-181b-1
MI   MI0000271  hsa-mir-181c
MI   MI0000289  hsa-mir-181a-1
MI   MI0000683  hsa-mir-181b-2
MI   MI0000697  mmu-mir-181a-1
MI   MI0000723  mmu-mir-181b-1
MI   MI0000724  mmu-mir-181c
MI   MI0000823  mmu-mir-181b-2
MI   MI0000924  rno-mir-181c
MI   MI0000925  rno-mir-181a-2
MI   MI0000926  rno-mir-181b-1
MI   MI0000927  rno-mir-181b-2
MI   MI0000953  rno-mir-181a-1
MI   MI0001218  gga-mir-181a-1
MI   MI0001219  gga-mir-181b-1
MI   MI0001242  gga-mir-181b-2
MI   MI0001243  gga-mir-181a-2
MI   MI0001366  dre-mir-181b-1
MI   MI0001367  dre-mir-181b-2
MI   MI0001380  dre-mir-181a-1
MI   MI0002024  dre-mir-181c
MI   MI0002420  ssc-mir-181b
MI   MI0002438  ssc-mir-181c
MI   MI0002805  ggo-mir-181a-2
MI   MI0002806  ppa-mir-181a-2
MI   MI0002807  ptr-mir-181a-2
MI   MI0002808  mml-mir-181a-2
MI   MI0002809  sla-mir-181a-2
MI   MI0002810  mne-mir-181a-2
MI   MI0002811  mml-mir-181c
MI   MI0002812  ptr-mir-181c
MI   MI0002813  ggo-mir-181c
MI   MI0002814  ppa-mir-181c
MI   MI0002931  mml-mir-181a-1
MI   MI0002932  mml-mir-181b-1
MI   MI0002933  ptr-mir-181a-1
MI   MI0002934  ptr-mir-181b-1
MI   MI0002935  ppy-mir-181a-1
MI   MI0002936  ppy-mir-181b
MI   MI0002937  ggo-mir-181a-1
MI   MI0002938  ggo-mir-181b
MI   MI0002939  lla-mir-181a-1
MI   MI0002940  lla-mir-181b
MI   MI0002941  mne-mir-181a-1
MI   MI0002942  mne-mir-181b
MI   MI0002943  ppa-mir-181a-1
MI   MI0002944  ppa-mir-181b
MI   MI0003139  hsa-mir-181d
MI   MI0003331  fru-mir-181b-1
MI   MI0003332  tni-mir-181b-1
MI   MI0003333  fru-mir-181a-1
MI   MI0003334  tni-mir-181a-1
MI   MI0003375  fru-mir-181b-2
MI   MI0003376  tni-mir-181b-2
MI   MI0003386  tni-mir-181a-2
MI   MI0003387  dre-mir-181a-2
MI   MI0003475  fru-mir-181a-2
MI   MI0004757  bta-mir-181a
MI   MI0004849  xtr-mir-181b-1
MI   MI0004850  xtr-mir-181b-2
MI   MI0004865  xtr-mir-181a-1
MI   MI0004866  xtr-mir-181a-2
MI   MI0005013  bta-mir-181b
MI   MI0005032  bta-mir-181c
MI   MI0005310  mdo-mir-181c
